# Receiving,Rushing,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,Att,Yds,Y/A,Lng,TD,Fum,FumL
DALTE010,DAL,2001,7,1,N/A,7,7.0,7,0,0,0,N/A,N/A,0,0,0
DENTE010,BAL,2001,7,7,N/A,89,12.7,30,0,0,0,N/A,N/A,0,0,0
BUFTE017,TAM,2001,7,5,N/A,27,5.4,10,1,0,0,N/A,N/A,0,0,0
NWETE002,JAC,2001,7,3,N/A,29,9.7,11,0,0,0,N/A,N/A,0,0,0
HOUTE002,PIT,2001,7,3,N/A,36,12.0,21,0,0,0,N/A,N/A,0,0,0
NORTE008,STL,2001,7,6,N/A,44,7.3,13,0,1,2,2.0,2,1,0,0
KANTE005,KAN,2001,7,1,N/A,28,28.0,28,0,0,0,N/A,N/A,0,0,0
PITTE005,BUF,2001,7,4,N/A,74,18.5,25,0,0,0,N/A,N/A,0,0,0
SEATE007,IND,2001,7,1,N/A,6,6.0,6,1,0,0,N/A,N/A,0,0,0
NORTE009,DET,2001,7,4,N/A,34,8.5,26,2,0,0,N/A,N/A,0,0,0
CARTE006,SEA,2001,7,2,N/A,16,8.0,9,0,0,0,N/A,N/A,0,0,0
CHITE001,CHI,2001,7,2,N/A,11,5.5,7,0,0,0,N/A,N/A,0,0,0
GNBTE009,CAR,2001,7,2,N/A,11,5.5,7,0,0,0,N/A,N/A,0,0,0
ATLTE003,KAN,2001,8,4,N/A,42,10.5,14,0,0,0,N/A,N/A,0,0,0
DALTE001,DAL,2001,8,2,N/A,18,9.0,15,0,0,0,N/A,N/A,0,0,0
NYJTE007,GNB,2001,8,1,N/A,17,17.0,17,0,0,0,N/A,N/A,0,0,0
KANTE008,NYJ,2001,8,2,N/A,34,17.0,24,0,0,0,N/A,N/A,0,0,0
