STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_FG_Pct,K_Lng,K_XPM,K_XPA,K_XP_Pct,K_Pts
WASKK004,DAL,2004,8,0,0,0,0,0,0,1,1,0,0,1,1,100.0,40,4,4,100.0,7
ARIKK001,ATL,2004,8,0,0,1,1,0,0,1,2,0,0,2,3,66.7,43,5,5,100.0,11
TAMKK001,BUF,2004,8,0,0,1,1,0,0,0,0,0,0,1,1,100.0,25,5,5,100.0,8
HOUKK002,ARI,2004,8,0,0,0,0,0,0,0,0,0,1,0,1,0.0,N/A,2,2,100.0,2
MINKK001,CHI,2004,8,0,0,1,1,0,0,1,1,1,2,3,4,75.0,52,2,2,100.0,11
ATLKK003,MIA,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100.0,2
SFOKK001,PIT,2004,8,1,1,1,1,0,0,0,0,0,0,2,2,100.0,29,4,4,100.0,10
NYGKK001,KAN,2004,8,0,0,0,0,1,1,0,0,0,0,1,1,100.0,32,6,6,100.0,9
WASKK006,WAS,2004,8,0,0,0,0,0,1,0,0,0,0,0,1,0.0,N/A,2,2,100.0,2
JACKK001,JAC,2004,8,0,0,0,0,1,1,1,2,0,0,2,3,66.7,44,0,0,N/A,6
MIAKK001,SDG,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,6,6,100.0,6
NYGKK003,SEA,2004,8,0,0,2,2,0,0,1,1,0,0,3,3,100.0,45,2,2,100.0,11
BALKK003,MIN,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
OAKKK001,OAK,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100.0,2
SDGKK001,HOU,2004,8,0,0,1,1,1,1,0,0,0,0,2,2,100.0,38,2,2,100.0,8
DETKK002,DET,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100.0,3
