STATS,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,REC_Tgt,REC_Yds,REC_YPR,REC_Lng,REC_TD,RUN_Att,RUN_Yds,RUN_YPA,RUN_Lng,RUN_TD,Fum,FumLost
NWETE0246,ATL,2001,6,5,N/A,78,15.6,57,1,0,0,N/A,N/A,0,0,0
TENTE0151,TEN,2001,6,2,N/A,14,7,8,0,0,0,N/A,N/A,0,0,0
KANTE0271,NYJ,2001,6,5,N/A,35,7,9,2,0,0,N/A,N/A,0,0,0
OAKTE0072,CLE,2001,6,1,N/A,27,27,27,0,0,0,N/A,N/A,0,0,0
JACTE0078,JAC,2001,6,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
NYJTE0151,GNB,2001,6,2,N/A,9,4.5,7,1,0,0,N/A,N/A,0,0,0
ARITE0141,PIT,2001,6,1,N/A,32,32,32,1,0,0,N/A,N/A,0,0,0
ATLTE0305,KAN,2001,6,4,N/A,58,14.5,25,0,0,0,N/A,N/A,0,0,0
TAMTE0097,IND,2001,6,2,N/A,32,16,25,0,0,0,N/A,N/A,0,0,0
NWETE0171,JAC,2001,6,3,N/A,36,12,20,1,0,0,N/A,N/A,0,0,0
HOUTE0096,PIT,2001,6,1,N/A,2,2,2,0,0,0,N/A,N/A,0,0,0
WASTE0057,WAS,2001,6,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
DETTE0007,DET,2001,6,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,1
DENTE0059,BAL,2001,6,6,N/A,61,10.2,20,0,0,0,N/A,N/A,0,0,0
TAMTE0152,TAM,2001,6,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
CHITE0030,CHI,2001,6,1,N/A,1,1,1,1,0,0,N/A,N/A,0,0,0
CHITE0033,CHI,2001,6,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
NORTE0037,DET,2001,6,3,N/A,41,13.7,26,0,0,0,N/A,N/A,0,0,0
WASTE0020,CIN,2001,6,4,N/A,57,14.3,17,0,0,0,N/A,N/A,0,0,0
PITTE0054,BUF,2001,6,5,N/A,53,10.6,24,0,0,0,N/A,N/A,0,0,0
ARITE0069,SDG,2001,6,3,N/A,56,18.7,28,0,0,0,N/A,N/A,0,0,0
NORTE0116,STL,2001,6,1,N/A,16,16,16,0,0,0,N/A,N/A,0,1,1
WASTE0047,MIN,2001,6,3,N/A,26,8.7,12,0,0,0,N/A,N/A,0,0,0
JACTE0047,DET,2001,6,1,N/A,12,12,12,0,0,0,N/A,N/A,0,0,0
SEATE0155,IND,2001,6,3,N/A,61,20.3,24,0,0,0,N/A,N/A,0,0,0
GNBTE0082,CAR,2001,6,3,N/A,15,5,8,1,0,0,N/A,N/A,0,0,0
ARITE0012,ARI,2001,7,1,N/A,11,11,11,0,0,0,N/A,N/A,0,0,0
OAKTE0023,OAK,2001,7,1,N/A,1,1,1,0,0,0,N/A,N/A,0,0,0
SEATE0126,SEA,2001,7,2,N/A,16,8,15,1,0,0,N/A,N/A,0,0,0
STLTE0090,OAK,2001,7,3,N/A,16,5.3,9,0,0,0,N/A,N/A,0,0,0
DETTE0060,KAN,2001,7,2,N/A,14,7,9,0,0,0,N/A,N/A,0,0,0
PHITE0119,PHI,2001,7,2,N/A,27,13.5,23,0,0,0,N/A,N/A,0,0,0
DENTE0086,DEN,2001,7,1,N/A,0,0,0,0,0,0,N/A,N/A,0,0,0
STLTE0099,NOR,2001,7,4,N/A,43,10.8,14,0,0,0,N/A,N/A,0,1,1
MINTE0282,MIN,2001,7,1,N/A,4,4,4,0,2,8,4,7,0,0,0
CHITE0210,DEN,2001,7,6,N/A,94,15.7,35,0,0,0,N/A,N/A,0,0,0
WASTE0045,WAS,2001,7,2,N/A,32,16,17,0,0,0,N/A,N/A,0,0,0
ARILB0435,SFO,2001,7,2,N/A,24,12,13,0,0,0,N/A,N/A,0,0,0
NORTE0089,NOR,2001,7,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
ARITE0018,ARI,2001,7,2,N/A,8,4,6,0,0,0,N/A,N/A,0,0,0
SFOTE0067,SFO,2001,7,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
NWETE0097,MIA,2001,7,1,N/A,12,12,12,0,0,0,N/A,N/A,0,0,0
SFOTE0040,SFO,2001,7,1,N/A,1,1,1,1,0,0,N/A,N/A,0,0,0
TENTE0151,TEN,2001,7,1,N/A,6,6,6,0,0,0,N/A,N/A,0,0,0
ATLTE0305,KAN,2001,7,3,N/A,75,25,35,1,0,0,N/A,N/A,0,0,0
ARITE0069,SDG,2001,7,2,N/A,5,2.5,4,1,0,0,N/A,N/A,0,0,0
CHITE0030,CHI,2001,7,3,N/A,29,9.7,19,0,0,0,N/A,N/A,0,0,0
TENTE0085,TEN,2001,7,3,N/A,41,13.7,25,1,0,0,N/A,N/A,0,0,0
TAMTE0097,IND,2001,7,2,N/A,20,10,16,0,0,0,N/A,N/A,0,0,0
DALTE0044,CIN,2001,7,1,N/A,25,25,25,0,0,0,N/A,N/A,0,0,0
PHITE0041,PHI,2001,7,1,N/A,11,11,11,0,0,0,N/A,N/A,0,0,0
DALTE0024,DAL,2001,7,1,N/A,7,7,7,0,0,0,N/A,N/A,0,0,0
DENTE0059,BAL,2001,7,7,N/A,89,12.7,30,0,0,0,N/A,N/A,0,0,0
TAMTE0152,TAM,2001,7,5,N/A,27,5.4,10,1,0,0,N/A,N/A,0,0,0
NWETE0171,JAC,2001,7,3,N/A,29,9.7,11,0,0,0,N/A,N/A,0,0,0
HOUTE0096,PIT,2001,7,3,N/A,36,12,21,0,0,0,N/A,N/A,0,0,0
NORTE0116,STL,2001,7,6,N/A,44,7.3,13,0,1,2,2,2,1,0,0
KANTE0181,KAN,2001,7,1,N/A,28,28,28,0,0,0,N/A,N/A,0,0,0
PITTE0054,BUF,2001,7,4,N/A,74,18.5,25,0,0,0,N/A,N/A,0,0,0
SEATE0155,IND,2001,7,1,N/A,6,6,6,1,0,0,N/A,N/A,0,0,0
NORTE0037,DET,2001,7,4,N/A,34,8.5,26,2,0,0,N/A,N/A,0,0,0
CARTE0157,SEA,2001,7,2,N/A,16,8,9,0,0,0,N/A,N/A,0,0,0
CHITE0033,CHI,2001,7,2,N/A,11,5.5,7,0,0,0,N/A,N/A,0,0,0
GNBTE0082,CAR,2001,7,2,N/A,11,5.5,7,0,0,0,N/A,N/A,0,0,0
ATLTE0305,KAN,2001,8,4,N/A,42,10.5,14,0,0,0,N/A,N/A,0,0,0
